Date,TotalReturnsIndex
2005-04-01,1000.0
2005-04-04,1001.57
2005-04-05,994.43
2005-04-06,995.94
2005-04-07,993.66
2005-04-08,984.78
2005-04-11,976.58
2005-04-12,985.0
2005-04-13,987.91
2005-04-15,966.5
2005-04-18,957.01
2005-04-19,950.69
2005-04-20,963.03
2005-04-21,976.43
2005-04-22,986.53
2005-04-25,989.24
2005-04-26,985.77
2005-04-27,979.52
2005-04-28,986.2
2005-04-29,967.08
2005-05-02,971.73
2005-05-03,978.06
2005-05-04,987.8
2005-05-05,995.13
2005-05-06,1001.44
2005-05-09,1013.19
2005-05-10,1012.36
2005-05-11,1008.26
2005-05-12,1012.73
2005-05-13,1014.83
2005-05-16,1022.16
2005-05-17,1014.91
2005-05-18,1010.47
2005-05-19,1013.79
2005-05-20,1015.13
2005-05-23,1022.4
2005-05-24,1026.88
2005-05-25,1036.47
2005-05-26,1046.3
2005-05-27,1048.07
2005-05-30,1042.01
2005-05-31,1051.69
2005-06-01,1057.77
2005-06-02,1051.6
2005-06-03,1058.72
2005-06-04,1062.81
2005-06-06,1062.65
2005-06-07,1065.99
2005-06-08,1074.63
2005-06-09,1070.97
2005-06-10,1064.84
2005-06-13,1069.74
2005-06-14,1071.72
2005-06-15,1075.69
2005-06-16,1071.06
2005-06-17,1069.03
2005-06-20,1072.29
2005-06-21,1085.92
2005-06-22,1097.01
2005-06-23,1100.43
2005-06-24,1108.51
2005-06-27,1105.46
2005-06-28,1089.62
2005-06-29,1099.9
2005-06-30,1109.1
2005-07-01,1120.81
2005-07-04,1134.5
2005-07-05,1130.08
2005-07-06,1144.05
2005-07-07,1123.92
2005-07-08,1134.43
2005-07-11,1152.32
2005-07-12,1155.43
2005-07-13,1146.57
2005-07-14,1140.62
2005-07-15,1154.08
2005-07-18,1169.15
2005-07-19,1172.71
2005-07-20,1176.0
2005-07-21,1170.15
2005-07-22,1183.57
2005-07-25,1189.82
2005-07-26,1189.89
2005-07-27,1196.73
2005-07-29,1185.4
2005-08-01,1196.85
2005-08-02,1213.15
2005-08-03,1221.61
2005-08-04,1229.97
2005-08-05,1227.93
2005-08-08,1207.37
2005-08-09,1205.42
2005-08-10,1231.05
2005-08-11,1250.05
2005-08-12,1251.58
2005-08-16,1254.49
2005-08-17,1261.8
2005-08-18,1252.22
2005-08-19,1250.68
2005-08-22,1245.3
2005-08-23,1224.78
2005-08-24,1216.84
2005-08-25,1223.7
2005-08-26,1237.44
2005-08-29,1225.98
2005-08-30,1243.56
2005-08-31,1250.69
2005-09-01,1258.44
2005-09-02,1263.83
2005-09-05,1272.15
2005-09-06,1275.96
2005-09-08,1290.65
2005-09-09,1284.96
2005-09-12,1295.44
2005-09-13,1304.62
2005-09-14,1302.04
2005-09-15,1315.61
2005-09-16,1321.43
2005-09-19,1329.43
2005-09-20,1331.29
2005-09-21,1319.74
2005-09-22,1275.86
2005-09-23,1281.5
2005-09-26,1317.87
2005-09-27,1326.49
2005-09-28,1332.62
2005-09-29,1334.81
