Date,TotalReturnsIndex
2009-10-01,1000.0
2009-10-05,982.63
2009-10-06,968.26
2009-10-07,956.95
2009-10-08,946.32
2009-10-09,943.05
2009-10-12,964.44
2009-10-14,972.14
2009-10-15,964.41
2009-10-16,968.67
2009-10-17,973.63
2009-10-20,972.81
2009-10-21,970.98
2009-10-22,962.95
2009-10-23,973.87
2009-10-26,968.28
2009-10-27,942.71
2009-10-28,949.2
2009-10-29,931.0
2009-10-30,916.02
2009-11-03,884.57
2009-11-04,913.17
2009-11-05,925.53
2009-11-06,926.76
2009-11-09,933.87
2009-11-10,920.94
2009-11-11,944.35
2009-11-12,939.91
2009-11-13,950.0
2009-11-16,961.34
2009-11-17,965.23
2009-11-18,969.13
2009-11-19,955.37
2009-11-20,961.21
2009-11-23,960.84
2009-11-24,963.2
2009-11-25,963.59
2009-11-26,950.02
2009-11-27,939.29
2009-11-30,955.29
2009-12-01,970.35
2009-12-02,968.55
2009-12-03,973.96
2009-12-04,975.79
2009-12-07,971.35
2009-12-08,988.83
2009-12-09,992.72
2009-12-10,993.19
2009-12-11,989.8
2009-12-14,987.33
2009-12-15,980.7
2009-12-16,988.07
2009-12-17,990.04
2009-12-18,983.44
2009-12-21,974.94
2009-12-22,982.72
2009-12-23,1005.01
2009-12-24,1008.64
2009-12-29,1007.06
2009-12-30,1004.23
2009-12-31,1007.11
2010-01-04,1013.69
2010-01-05,1023.92
2010-01-06,1018.59
2010-01-07,1009.44
2010-01-08,1004.47
2010-01-11,1013.29
2010-01-12,1014.69
2010-01-13,1028.02
2010-01-14,1031.24
2010-01-15,1034.25
2010-01-18,1037.75
2010-01-19,1025.12
2010-01-20,1028.97
2010-01-21,1009.82
2010-01-22,1001.79
2010-01-25,998.09
2010-01-27,964.49
2010-01-28,967.14
2010-01-29,960.39
2010-02-01,969.98
2010-02-02,958.08
2010-02-03,974.83
2010-02-04,954.77
2010-02-05,934.99
2010-02-06,943.44
2010-02-08,945.14
2010-02-09,954.61
2010-02-10,953.41
2010-02-11,965.28
2010-02-15,958.38
2010-02-16,964.07
2010-02-17,969.68
2010-02-18,965.08
2010-02-19,955.53
2010-02-22,955.84
2010-02-23,959.87
2010-02-24,956.56
2010-02-25,955.76
2010-02-26,959.96
2010-03-02,977.48
2010-03-03,988.26
2010-03-04,993.21
2010-03-05,1000.05
2010-03-08,1005.07
2010-03-09,1001.53
2010-03-10,1002.95
2010-03-11,1005.78
2010-03-12,1006.36
2010-03-15,1011.54
2010-03-16,1017.85
2010-03-17,1025.16
2010-03-18,1024.69
2010-03-19,1029.69
2010-03-22,1027.73
2010-03-23,1025.41
2010-03-25,1036.44
2010-03-26,1036.24
2010-03-29,1037.33
2010-03-30,1027.85
2010-03-31,1025.34
2010-04-01,1031.04
2010-04-05,1043.44
2010-04-06,1041.73
2010-04-07,1044.16
2010-04-08,1040.99
2010-04-09,1040.1
2010-04-12,1041.18
2010-04-13,1048.11
2010-04-15,1047.42
2010-04-16,1046.35
2010-04-19,1031.4
2010-04-20,1030.01
2010-04-21,1036.26
2010-04-22,1035.38
2010-04-23,1031.22
2010-04-26,1031.37
2010-04-27,1029.73
2010-04-28,1018.99
