Date,TotalReturnsIndex
2005-04-01,1000.0
2005-04-04,1000.01
2005-04-05,989.36
2005-04-06,994.63
2005-04-07,992.35
2005-04-08,979.83
2005-04-11,970.73
2005-04-12,981.29
2005-04-13,983.74
2005-04-15,951.85
2005-04-18,939.01
2005-04-19,932.5
2005-04-20,945.8
2005-04-21,959.38
2005-04-22,965.11
2005-04-25,970.72
2005-04-26,966.44
2005-04-27,955.41
2005-04-28,948.64
2005-04-29,924.62
2005-05-02,932.3
2005-05-03,937.68
2005-05-04,951.13
2005-05-05,964.25
2005-05-06,965.81
2005-05-09,979.61
2005-05-10,981.1
2005-05-11,976.54
2005-05-12,980.93
2005-05-13,980.71
2005-05-16,993.02
2005-05-17,983.79
2005-05-18,981.23
2005-05-19,987.48
2005-05-20,988.64
2005-05-23,994.99
2005-05-24,1000.48
2005-05-25,1004.24
2005-05-26,1013.94
2005-05-27,1015.33
2005-05-30,1005.0
2005-05-31,1014.85
2005-06-01,1011.93
2005-06-02,1001.51
2005-06-03,1011.52
2005-06-04,1011.42
2005-06-06,1015.73
2005-06-07,1030.93
2005-06-08,1040.47
2005-06-09,1037.14
2005-06-10,1028.2
2005-06-13,1032.63
2005-06-14,1039.27
2005-06-15,1042.48
2005-06-16,1036.45
2005-06-17,1035.63
2005-06-20,1031.38
2005-06-21,1041.5
2005-06-22,1044.43
2005-06-23,1050.36
2005-06-24,1048.0
2005-06-27,1049.37
2005-06-28,1034.87
2005-06-29,1043.71
2005-06-30,1058.89
2005-07-01,1059.93
2005-07-04,1070.19
2005-07-05,1063.72
2005-07-06,1077.55
2005-07-07,1063.43
2005-07-08,1074.0
2005-07-11,1084.87
2005-07-12,1086.97
2005-07-13,1082.39
2005-07-14,1074.68
2005-07-15,1081.1
2005-07-18,1092.45
2005-07-19,1099.4
2005-07-20,1099.1
2005-07-21,1092.53
2005-07-22,1115.26
2005-07-25,1135.67
2005-07-26,1144.09
2005-07-27,1152.17
2005-07-29,1156.72
2005-08-01,1155.74
2005-08-02,1165.86
2005-08-03,1168.89
2005-08-04,1174.03
2005-08-05,1172.42
2005-08-08,1143.74
2005-08-09,1143.33
2005-08-10,1166.49
2005-08-11,1177.24
2005-08-12,1172.86
2005-08-16,1172.82
2005-08-17,1180.52
2005-08-18,1177.44
2005-08-19,1169.7
2005-08-22,1158.85
2005-08-23,1139.26
2005-08-24,1130.22
2005-08-25,1143.64
2005-08-26,1149.46
2005-08-29,1138.01
2005-08-30,1154.24
2005-08-31,1161.52
2005-09-01,1170.3
2005-09-02,1175.02
2005-09-05,1182.78
2005-09-06,1188.41
2005-09-08,1201.23
2005-09-09,1207.32
2005-09-12,1220.99
2005-09-13,1228.84
2005-09-14,1227.72
2005-09-15,1239.46
2005-09-16,1250.92
2005-09-19,1260.4
2005-09-20,1265.08
2005-09-21,1256.97
2005-09-22,1213.56
