Date,TotalReturnsIndex
1995-01-01,1000.0
1995-01-02,972.35
1995-01-03,967.68
1995-01-04,959.13
1995-01-05,948.5
1995-01-06,939.72
1995-01-09,921.91
1995-01-10,901.89
1995-01-11,893.39
1995-01-12,893.39
1995-01-13,894.37
1995-01-16,903.29
1995-01-17,907.74
1995-01-18,908.11
1995-01-19,910.14
1995-01-20,904.16
1995-01-23,883.61
1995-01-24,864.04
1995-01-25,864.42
1995-01-27,868.08
1995-01-30,878.29
1995-01-31,883.67
1995-02-01,883.23
1995-02-02,884.48
1995-02-03,888.05
1995-02-06,881.4
1995-02-07,873.4
1995-02-08,865.82
1995-02-09,862.43
1995-02-10,858.68
1995-02-13,854.16
1995-02-14,850.81
1995-02-15,848.02
1995-02-16,833.93
1995-02-17,824.02
1995-02-20,815.26
1995-02-21,800.87
1995-02-22,788.89
1995-02-23,813.39
1995-02-24,839.4
1995-02-28,833.52
1995-03-01,843.4
1995-03-02,854.69
1995-03-03,859.91
1995-03-06,861.25
1995-03-07,858.98
1995-03-08,853.58
1995-03-09,852.3
1995-03-10,864.23
1995-03-13,844.85
1995-03-14,848.65
1995-03-15,857.99
1995-03-16,843.46
1995-03-23,821.54
1995-03-24,817.4
1995-03-27,817.6
1995-03-28,820.7
1995-03-29,815.24
1995-03-30,815.52
1995-03-31,813.42
1995-04-03,815.55
1995-04-04,823.59
1995-04-05,834.58
1995-04-06,842.12
1995-04-07,846.16
1995-04-10,842.27
1995-04-17,840.72
1995-04-18,830.49
1995-04-19,821.35
1995-04-20,814.11
1995-04-21,813.79
1995-04-24,803.23
1995-04-25,793.66
1995-04-26,785.93
1995-04-27,773.88
1995-04-28,760.7
1995-05-02,736.29
1995-05-03,738.14
1995-05-04,747.29
1995-05-05,761.76
1995-05-08,764.45
1995-05-09,768.81
1995-05-10,767.98
1995-05-12,760.54
1995-05-15,753.85
1995-05-16,750.64
1995-05-17,759.03
1995-05-18,770.33
1995-05-19,776.95
1995-05-22,767.54
1995-05-23,762.91
1995-05-24,759.84
1995-05-25,756.77
1995-05-26,760.88
1995-05-29,760.48
1995-05-30,762.94
1995-05-31,779.61
1995-06-01,791.29
1995-06-02,790.75
1995-06-05,789.26
1995-06-06,791.38
1995-06-07,790.93
1995-06-08,784.35
1995-06-09,780.2
1995-06-12,775.77
1995-06-13,768.56
1995-06-14,769.56
1995-06-15,764.54
1995-06-16,768.05
1995-06-19,771.84
