Date,TotalReturnsIndex
2005-04-01,1000.0
2005-04-04,994.18
2005-04-05,980.92
2005-04-06,1001.34
2005-04-07,1001.88
2005-04-08,996.57
2005-04-11,990.16
2005-04-12,996.6
2005-04-13,997.5
2005-04-15,971.11
2005-04-18,965.13
2005-04-19,955.63
2005-04-20,960.54
2005-04-21,973.16
2005-04-22,975.25
2005-04-25,984.12
2005-04-26,988.22
2005-04-27,974.97
2005-04-28,962.25
2005-04-29,944.49
2005-05-02,947.29
2005-05-03,948.69
2005-05-04,961.85
2005-05-05,982.48
2005-05-06,987.03
2005-05-09,998.1
2005-05-10,992.36
2005-05-11,991.31
2005-05-12,1004.97
2005-05-13,1009.38
2005-05-16,1026.83
2005-05-17,1015.46
2005-05-18,1017.82
2005-05-19,1028.03
2005-05-20,1031.82
2005-05-23,1041.49
2005-05-24,1045.71
2005-05-25,1049.45
2005-05-26,1039.06
2005-05-27,1041.57
2005-05-30,1036.78
2005-05-31,1042.24
2005-06-01,1044.68
2005-06-02,1040.18
2005-06-03,1049.38
2005-06-04,1057.71
2005-06-06,1057.27
2005-06-07,1074.48
2005-06-08,1085.24
2005-06-09,1088.67
2005-06-10,1076.71
2005-06-13,1074.81
2005-06-14,1075.7
2005-06-15,1075.05
2005-06-16,1054.33
2005-06-17,1040.76
2005-06-20,1032.43
2005-06-21,1031.08
2005-06-22,1026.54
2005-06-23,1035.19
2005-06-24,1036.94
2005-06-27,1038.1
2005-06-28,1020.33
2005-06-29,1027.12
2005-06-30,1019.75
2005-07-01,1035.91
2005-07-04,1050.41
2005-07-05,1044.38
2005-07-06,1064.18
2005-07-07,1045.99
2005-07-08,1061.63
2005-07-11,1075.66
2005-07-12,1082.11
2005-07-13,1093.83
2005-07-14,1089.92
2005-07-15,1103.22
2005-07-18,1129.73
2005-07-19,1139.74
2005-07-20,1148.32
2005-07-21,1140.14
2005-07-22,1157.08
2005-07-25,1154.2
2005-07-26,1150.01
2005-07-27,1149.0
2005-07-29,1138.5
2005-08-01,1144.52
2005-08-02,1172.82
2005-08-03,1170.31
2005-08-04,1172.22
2005-08-05,1180.07
2005-08-08,1159.53
2005-08-09,1148.74
2005-08-10,1173.83
2005-08-11,1182.44
2005-08-12,1178.21
2005-08-16,1186.58
2005-08-17,1199.59
2005-08-18,1192.17
2005-08-19,1189.37
2005-08-22,1195.99
2005-08-23,1166.14
2005-08-24,1149.9
2005-08-25,1159.51
2005-08-26,1177.86
2005-08-29,1173.11
2005-08-30,1187.09
2005-08-31,1203.82
2005-09-01,1211.48
2005-09-02,1221.51
2005-09-05,1222.09
2005-09-06,1231.17
2005-09-08,1246.5
2005-09-09,1245.34
2005-09-12,1266.29
2005-09-13,1278.37
2005-09-14,1265.14
2005-09-15,1285.13
2005-09-16,1302.69
2005-09-19,1317.29
2005-09-20,1300.42
2005-09-21,1268.43
2005-09-22,1195.05
2005-09-23,1211.2
2005-09-26,1250.11
2005-09-27,1260.37
2005-09-28,1271.23
2005-09-29,1259.52
2005-09-30,1256.31
2005-10-03,1272.31
2005-10-04,1297.27
2005-10-05,1291.38
2005-10-06,1276.61
2005-10-07,1265.42
2005-10-10,1247.98
2005-10-11,1252.82
2005-10-13,1231.19
2005-10-14,1205.59
2005-10-17,1197.26
2005-10-18,1192.27
2005-10-19,1155.49
2005-10-20,1136.16
2005-10-21,1149.4
2005-10-24,1152.47
2005-10-25,1161.62
2005-10-26,1156.28
2005-10-27,1128.55
2005-10-28,1109.03
2005-10-31,1122.67
2005-11-01,1138.65
2005-11-02,1150.38
2005-11-07,1165.6
2005-11-08,1182.93
2005-11-09,1178.51
2005-11-10,1186.72
2005-11-11,1212.29
2005-11-14,1220.87
2005-11-16,1228.94
2005-11-17,1233.06
2005-11-18,1229.27
2005-11-21,1214.28
2005-11-22,1201.85
2005-11-23,1200.32
2005-11-24,1205.67
2005-11-25,1218.66
2005-11-26,1225.92
2005-11-28,1233.25
2005-11-29,1226.18
2005-11-30,1218.04
2005-12-01,1232.39
2005-12-02,1232.29
2005-12-05,1223.35
2005-12-06,1214.01
2005-12-07,1217.04
2005-12-08,1221.12
2005-12-09,1229.22
2005-12-12,1238.03
