Date,TotalReturnsIndex
2005-04-01,1000.0
2005-04-04,1009.3
2005-04-05,1002.37
2005-04-06,1011.84
2005-04-07,1011.98
2005-04-08,1005.67
2005-04-11,994.9
2005-04-12,1001.92
2005-04-13,1003.87
2005-04-15,981.17
2005-04-18,973.61
2005-04-19,972.73
2005-04-20,976.69
2005-04-21,992.84
2005-04-22,1005.2
2005-04-25,1009.06
2005-04-26,1008.63
2005-04-27,999.11
2005-04-28,994.67
2005-04-29,981.09
2005-05-02,975.33
2005-05-03,977.6
2005-05-04,987.32
2005-05-05,997.02
2005-05-06,1001.47
2005-05-09,1014.15
2005-05-10,1014.13
2005-05-11,1017.61
2005-05-12,1028.8
2005-05-13,1034.81
2005-05-16,1045.61
2005-05-17,1037.33
2005-05-18,1042.74
2005-05-19,1049.28
2005-05-20,1046.05
2005-05-23,1051.64
2005-05-24,1056.24
2005-05-25,1059.84
2005-05-26,1059.29
2005-05-27,1056.02
2005-05-30,1049.01
2005-05-31,1056.59
2005-06-01,1062.94
2005-06-02,1057.42
2005-06-03,1065.89
2005-06-04,1070.72
2005-06-06,1072.51
2005-06-07,1076.46
2005-06-08,1080.47
2005-06-09,1085.54
2005-06-10,1083.27
2005-06-13,1085.15
2005-06-14,1088.91
2005-06-15,1094.18
2005-06-16,1083.44
2005-06-17,1066.18
2005-06-20,1062.64
2005-06-21,1066.77
2005-06-22,1063.32
2005-06-23,1067.97
2005-06-24,1077.24
2005-06-27,1077.32
2005-06-28,1060.06
2005-06-29,1069.2
2005-06-30,1067.93
2005-07-01,1080.6
2005-07-04,1098.95
2005-07-05,1096.84
2005-07-06,1115.26
2005-07-07,1100.29
2005-07-08,1117.43
2005-07-11,1133.43
2005-07-12,1135.59
2005-07-13,1144.39
2005-07-14,1141.59
2005-07-15,1154.48
2005-07-18,1179.18
2005-07-19,1188.42
2005-07-20,1191.94
2005-07-21,1185.14
2005-07-22,1198.59
2005-07-25,1201.7
2005-07-26,1197.15
2005-07-27,1198.66
2005-07-29,1188.27
2005-08-01,1197.4
2005-08-02,1219.67
2005-08-03,1217.82
2005-08-04,1225.02
2005-08-05,1236.64
2005-08-08,1224.41
2005-08-09,1218.21
2005-08-10,1243.57
2005-08-11,1262.36
2005-08-12,1269.57
2005-08-16,1278.02
2005-08-17,1289.41
2005-08-18,1284.36
2005-08-19,1285.84
2005-08-22,1284.24
2005-08-23,1255.2
2005-08-24,1237.62
2005-08-25,1248.68
2005-08-26,1270.6
2005-08-29,1271.44
2005-08-30,1286.76
2005-08-31,1300.18
2005-09-01,1311.09
2005-09-02,1315.71
2005-09-05,1318.02
2005-09-06,1321.22
2005-09-08,1328.57
2005-09-09,1327.47
2005-09-12,1342.6
2005-09-13,1350.79
2005-09-14,1344.68
2005-09-15,1362.51
2005-09-16,1370.82
2005-09-19,1388.38
2005-09-20,1382.56
2005-09-21,1348.05
2005-09-22,1278.07
2005-09-23,1291.83
2005-09-26,1333.37
2005-09-27,1345.56
2005-09-28,1358.96
2005-09-29,1356.89
2005-09-30,1352.88
2005-10-03,1371.75
2005-10-04,1386.38
2005-10-05,1382.96
2005-10-06,1361.92
2005-10-07,1357.86
2005-10-10,1353.03
2005-10-11,1347.55
2005-10-13,1336.54
2005-10-14,1306.92
2005-10-17,1296.41
2005-10-18,1289.93
2005-10-19,1252.8
2005-10-20,1229.96
2005-10-21,1250.0
2005-10-24,1249.95
2005-10-25,1249.08
2005-10-26,1242.87
2005-10-27,1220.77
2005-10-28,1201.22
2005-10-31,1228.71
2005-11-01,1243.79
2005-11-02,1249.76
2005-11-07,1273.04
2005-11-08,1287.3
2005-11-09,1286.32
2005-11-10,1290.02
2005-11-11,1310.2
2005-11-14,1313.44
2005-11-16,1317.46
2005-11-17,1321.12
2005-11-18,1327.61
2005-11-21,1321.21
2005-11-22,1310.71
2005-11-23,1314.11
2005-11-24,1321.46
2005-11-25,1332.91
2005-11-26,1348.36
2005-11-28,1358.49
2005-11-29,1351.12
2005-11-30,1349.7
2005-12-01,1366.01
2005-12-02,1375.4
2005-12-05,1371.78
2005-12-06,1373.34
2005-12-07,1381.47
2005-12-08,1387.24
2005-12-09,1401.47
2005-12-12,1408.54
2005-12-13,1418.81
2005-12-14,1413.05
2005-12-15,1402.0
2005-12-16,1408.56
2005-12-19,1418.81
2005-12-20,1415.29
2005-12-21,1415.97
2005-12-22,1418.35
2005-12-23,1408.65
2005-12-26,1384.25
2005-12-27,1407.15
2005-12-28,1409.24
2005-12-29,1419.09
2005-12-30,1433.61
2006-01-02,1452.02
2006-01-03,1473.68
2006-01-04,1480.6
2006-01-05,1487.17
2006-01-06,1498.36
2006-01-09,1510.76
2006-01-10,1502.62
2006-01-12,1501.86
2006-01-13,1505.42
2006-01-16,1499.77
2006-01-17,1485.67
2006-01-18,1476.68
2006-01-19,1503.94
2006-01-20,1517.94
2006-01-23,1517.3
2006-01-24,1522.11
2006-01-25,1525.91
2006-01-27,1551.27
2006-01-30,1532.06
2006-01-31,1532.81
2006-02-01,1515.61
2006-02-02,1517.75
2006-02-03,1524.84
2006-02-06,1545.7
2006-02-07,1556.17
2006-02-08,1551.85
2006-02-10,1570.62
2006-02-13,1584.06
2006-02-14,1575.69
2006-02-15,1573.57
2006-02-16,1580.55
2006-02-17,1558.32
2006-02-20,1544.31
2006-02-21,1555.83
2006-02-22,1558.25
2006-02-23,1552.6
2006-02-24,1562.42
2006-02-27,1575.44
2006-02-28,1571.23
2006-03-01,1596.38
2006-03-02,1610.7
2006-03-03,1620.66
2006-03-06,1642.79
2006-03-07,1658.1
2006-03-08,1634.25
2006-03-09,1641.27
2006-03-10,1660.65
2006-03-13,1670.97
2006-03-14,1664.07
2006-03-16,1671.05
2006-03-17,1663.4
2006-03-20,1676.55
2006-03-21,1678.25
2006-03-22,1663.5
2006-03-23,1669.67
2006-03-24,1682.96
2006-03-27,1701.07
2006-03-28,1693.99
2006-03-29,1703.11
2006-03-30,1721.03
2006-03-31,1747.55
2006-04-03,1792.5
2006-04-04,1805.5
2006-04-05,1831.36
2006-04-07,1807.9
2006-04-10,1817.21
2006-04-12,1780.38
2006-04-13,1746.92
2006-04-17,1775.77
2006-04-18,1796.32
2006-04-19,1802.53
2006-04-20,1815.65
2006-04-21,1820.53
2006-04-24,1831.19
2006-04-25,1804.45
2006-04-26,1831.68
2006-04-27,1839.34
2006-04-28,1834.3
2006-04-29,1875.18
2006-05-02,1887.06
2006-05-03,1890.06
2006-05-04,1887.27
2006-05-05,1889.29
2006-05-08,1897.37
2006-05-09,1900.23
2006-05-10,1912.21
2006-05-11,1894.1
2006-05-12,1880.1
2006-05-15,1814.85
2006-05-16,1796.53
2006-05-17,1856.86
2006-05-18,1740.11
2006-05-19,1673.06
2006-05-22,1561.35
2006-05-23,1607.64
2006-05-24,1598.77
2006-05-25,1582.95
2006-05-26,1622.21
2006-05-29,1636.2
2006-05-30,1635.11
2006-05-31,1593.7
2006-06-01,1547.2
2006-06-02,1536.06
2006-06-05,1513.81
2006-06-06,1455.5
2006-06-07,1362.84
2006-06-08,1257.62
2006-06-09,1331.07
2006-06-12,1308.8
2006-06-13,1223.43
2006-06-14,1186.06
2006-06-15,1259.56
2006-06-16,1315.97
2006-06-19,1344.69
2006-06-20,1346.23
2006-06-21,1383.86
2006-06-22,1414.34
2006-06-23,1417.08
2006-06-25,1431.39
2006-06-26,1370.46
2006-06-27,1361.91
2006-06-28,1357.15
2006-06-29,1366.31
2006-06-30,1413.33
2006-07-03,1416.9
2006-07-04,1417.42
2006-07-05,1434.06
2006-07-06,1435.18
2006-07-07,1413.17
2006-07-10,1411.65
2006-07-11,1407.52
2006-07-12,1409.8
2006-07-13,1408.1
2006-07-14,1392.2
2006-07-17,1359.76
2006-07-18,1336.95
2006-07-19,1298.23
2006-07-20,1312.04
2006-07-21,1280.82
2006-07-24,1271.47
2006-07-25,1299.93
2006-07-26,1324.45
2006-07-27,1344.61
2006-07-28,1365.45
2006-07-31,1380.35
2006-08-01,1369.78
2006-08-02,1387.11
2006-08-03,1396.4
2006-08-04,1391.64
2006-08-07,1393.11
2006-08-08,1411.06
2006-08-09,1436.16
2006-08-10,1466.19
2006-08-11,1481.8
2006-08-14,1512.21
2006-08-16,1530.47
2006-08-17,1516.92
2006-08-18,1528.11
2006-08-21,1538.89
2006-08-22,1538.09
2006-08-23,1521.14
2006-08-24,1526.84
2006-08-25,1541.97
2006-08-28,1550.17
2006-08-29,1549.84
2006-08-30,1548.6
2006-08-31,1535.73
2006-09-01,1554.42
2006-09-04,1582.2
2006-09-05,1589.57
2006-09-06,1595.56
2006-09-07,1595.49
2006-09-08,1616.49
2006-09-11,1560.26
2006-09-12,1573.94
2006-09-13,1596.34
2006-09-14,1603.71
2006-09-15,1606.59
2006-09-18,1614.0
2006-09-19,1594.08
2006-09-20,1601.44
2006-09-21,1616.07
2006-09-22,1607.58
2006-09-25,1602.88
2006-09-26,1610.74
2006-09-27,1621.51
2006-09-28,1630.99
2006-09-29,1656.73
2006-10-03,1661.6
2006-10-04,1653.26
2006-10-05,1685.59
2006-10-06,1698.25
2006-10-09,1707.26
2006-10-10,1701.34
2006-10-11,1681.04
2006-10-12,1695.63
2006-10-13,1698.59
2006-10-16,1698.58
2006-10-17,1690.43
2006-10-18,1693.85
2006-10-19,1685.9
2006-10-20,1698.87
2006-10-21,1712.77
2006-10-23,1702.96
2006-10-26,1713.76
2006-10-27,1731.04
2006-10-30,1738.54
2006-10-31,1729.91
2006-11-01,1739.51
2006-11-02,1743.56
2006-11-03,1746.06
2006-11-06,1765.51
2006-11-07,1772.61
2006-11-08,1750.81
2006-11-09,1765.61
2006-11-10,1775.02
2006-11-13,1795.72
2006-11-14,1783.64
2006-11-15,1776.27
2006-11-16,1774.82
2006-11-17,1746.96
2006-11-20,1728.7
2006-11-21,1758.3
2006-11-22,1775.96
2006-11-23,1783.38
2006-11-24,1794.12
2006-11-27,1806.17
2006-11-28,1794.74
2006-11-29,1815.48
2006-11-30,1806.84
2006-12-01,1825.72
2006-12-04,1837.8
2006-12-05,1841.23
2006-12-06,1824.72
2006-12-07,1824.53
2006-12-08,1815.54
2006-12-11,1770.01
2006-12-12,1698.34
2006-12-13,1735.85
2006-12-14,1777.26
2006-12-15,1794.49
2006-12-18,1792.8
2006-12-19,1767.64
2006-12-20,1760.25
2006-12-21,1774.08
2006-12-22,1788.34
2006-12-26,1807.78
2006-12-27,1822.24
2006-12-28,1824.34
2006-12-29,1842.1
2007-01-02,1865.55
2007-01-03,1885.32
2007-01-04,1890.59
2007-01-05,1890.52
2007-01-08,1880.46
2007-01-09,1872.11
2007-01-10,1852.14
2007-01-11,1876.23
2007-01-12,1902.48
2007-01-15,1918.66
2007-01-16,1926.64
2007-01-17,1934.7
2007-01-18,1929.22
2007-01-19,1920.69
2007-01-22,1916.1
2007-01-23,1894.45
2007-01-24,1904.74
2007-01-25,1929.36
2007-01-29,1932.69
2007-01-31,1914.88
2007-02-01,1926.74
2007-02-02,1938.1
2007-02-05,1943.84
2007-02-06,1954.75
2007-02-07,1956.8
2007-02-08,1954.37
2007-02-09,1913.71
