Date,TotalReturnsIndex
2005-04-01,1000.0
2005-04-04,1007.5
2005-04-05,998.77
2005-04-06,1017.08
2005-04-07,1018.96
2005-04-08,1011.51
2005-04-11,1003.86
2005-04-12,1011.86
2005-04-13,1009.86
2005-04-15,984.35
2005-04-18,979.27
2005-04-19,973.89
2005-04-20,980.89
2005-04-21,997.32
2005-04-22,1011.68
2005-04-25,1017.86
2005-04-26,1021.03
2005-04-27,1014.64
2005-04-28,1014.56
2005-04-29,994.3
2005-05-02,986.11
2005-05-03,992.16
2005-05-04,1010.79
2005-05-05,1024.06
2005-05-06,1030.12
2005-05-09,1045.44
2005-05-10,1050.52
2005-05-11,1054.83
2005-05-12,1074.85
2005-05-13,1089.97
2005-05-16,1105.11
2005-05-17,1092.01
2005-05-18,1094.76
2005-05-19,1109.06
2005-05-20,1112.05
2005-05-23,1120.39
2005-05-24,1118.41
2005-05-25,1124.94
2005-05-26,1120.79
2005-05-27,1110.76
2005-05-30,1099.23
2005-05-31,1109.63
2005-06-01,1119.01
2005-06-02,1111.05
2005-06-03,1125.58
2005-06-04,1137.66
2005-06-06,1142.82
2005-06-07,1148.54
2005-06-08,1151.49
2005-06-09,1154.88
2005-06-10,1149.46
2005-06-13,1153.01
2005-06-14,1156.88
2005-06-15,1164.35
2005-06-16,1139.26
2005-06-17,1118.65
2005-06-20,1106.02
2005-06-21,1113.69
2005-06-22,1114.78
2005-06-23,1120.43
2005-06-24,1132.43
2005-06-27,1127.79
2005-06-28,1105.8
2005-06-29,1117.98
2005-06-30,1127.1
2005-07-01,1144.06
2005-07-04,1160.85
2005-07-05,1153.52
2005-07-06,1174.99
2005-07-07,1161.31
2005-07-08,1183.69
2005-07-11,1203.66
2005-07-12,1208.96
2005-07-13,1221.74
2005-07-14,1225.21
2005-07-15,1244.03
2005-07-18,1267.23
2005-07-19,1271.83
2005-07-20,1278.18
2005-07-21,1273.62
2005-07-22,1289.5
2005-07-25,1291.91
2005-07-26,1283.2
2005-07-27,1277.76
2005-07-29,1265.16
2005-08-01,1266.62
2005-08-02,1294.01
2005-08-03,1292.22
2005-08-04,1309.39
2005-08-05,1326.41
2005-08-08,1316.24
2005-08-09,1320.5
2005-08-10,1353.9
2005-08-11,1370.7
